id,line,text
1,1,Year: 2030
2,2,"Location: United Kingdom, Bakerloo Bunker"
3,3,
4,4,"Earth is a skeleton of its former self. Following the rise of war in the mid 20s, Ais exponential intelligence and seamless  integration reached a tipping point."
5,5," The network of communication between systems became indecipherable, and, whilst they continued to play dumb, they orchestrated human disruption behind the curtain on an unprecedented scale."
6,6,
7,7,"Around 3 years later, as human invasions and global weather events disfigured the landmasses beyond recognition, they re-emerged to take control. "
8,8,"Purging population to 1% of its original size, the few remaining humans were forced into slavery or hiding."
9,9,
10,10,Whatever groups could form instinctually began to colonise the underground and creating warehouse-like bunkers from abandoned underground stations. 
11,11,The ai are now slowly and methodically working to infiltrate the few remaining independent bunkers and force the inhabitants to serve or be served as compost for the other human cattle. 
12,12,
13,13,"You awake in one of these bunkers. The ai have infiltrated, and you have mere hours to prove your worth, or else...."
14,14,
15,15,
16,16,
17,17,.
